Districts,Year,Flood_Frequency,Mean_Duration,Mean_Severity,AFSI,Dist_Name_x,Human_fatality,Human_injured,Population,Mean_Flood_Duration,Dist_Name_y,Percent_Flooded_Area,Parmanent_Water,Corrected_Percent_Flooded_Area,Population_Exposure_Ratio,Flood_Risk_Index,Area_Exposure,Severity_Score
"Alappuzha, Idukki, Kollam, Kottayam, Thiruvananthapuram,Thrissur",2001,1,7,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,7.000401627,18263.97663,
"Alappuzha, Idukki, Kollam, Malappuram, Thiruvananthapuram, Wayanad",2019,1,4,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,4.000229501,18263.97663,
"Alappuzha, Idukki, Kottayam, Malappuram,Pathanamthitta",1997,1,9,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,9.000516377,18263.97663,
"Alappuzha, Idukki, Thiruvananthapuram",2019,1,2,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,2.00011475,18263.97663,
"Alappuzha, Idukki,Kannur",2000,1,7,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,7.000401627,18263.97663,
"Alappuzha, Idukki,Wayanad",1995,1,2,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,2.00011475,18263.97663,
"Alappuzha, Kannur, Kasaragod, Kozhikode, Kottayam, Malappuram, Palakkad, Pathanamthitta, Thrissur, Thiruvananthapuram,Wayanad",2014,1,7,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,7.000401627,18263.97663,
"Alappuzha, Kannur, Kollam, Thrissur, Thiruvananthapuram",2015,1,9,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,9.000516377,18263.97663,
"Alappuzha, Kasaragod, Kozhikode, Thiruvananthapuram, Thrissur,Wayanad",2014,1,7,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,7.000401627,18263.97663,
"Alappuzha, Kollam Kozhikode, Malappuram,Thrissur, Thiruvananthapuram,Wayanad",2010,1,6,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,6.000344251,18263.97663,
